date,state,positive,probableCases,negative,pending,totalTestResultsSource,totalTestResults,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20201107,TX,950549.0,,7684441.0,,posNeg,8634990.0,6068.0,,1759.0,,,,811330.0,A,11/7/2020 16:15,2020-11-07T16:15:00Z,11/07 11:15,18700.0,,2020-11-07T16:15:00Z,8634990.0,,,950549.0,,,,,506808.0,50556.0,,,,,,,405632.0,33156.0,48,8010,73214,8634990,81224,8634990,111,0,4425ba54047dc174c26d78d72049798d0825590e,0,0,0,0,0,
20201107,UT,130235.0,,970736.0,,totalTestsViral,1480537.0,420.0,6020.0,175.0,1232.0,,471.0,92656.0,A+,11/7/2020 10:32,2020-11-07T10:32:00Z,11/07 05:32,658.0,6020.0,2020-11-07T10:32:00Z,1480537.0,133667.0,1346870.0,130235.0,,,,1100971.0,,,,,,,48535.0,7301.0,107849.0,7574.0,49,2956,8020,1100971,16981,1100971,9,98,8d0132919248cc99774de2a4b744d76ae85f952b,0,0,0,0,0,
20201107,VA,190873.0,15686.0,2591166.0,264.0,totalTestEncountersViral,2766353.0,1062.0,22503.0,215.0,,91.0,,21441.0,A+,11/6/2020 17:00,2020-11-06T17:00:00Z,11/06 12:00,3704.0,22503.0,2020-11-06T17:00:00Z,,208746.0,,175187.0,3439.0,265.0,2766353.0,,,,,,,,,,,,51,2103,21582,2782303,23124,2782039,22,80,1d51e30127bf892d053f178430708e1c6a08b273,0,0,0,0,0,
20201107,VI,1390.0,,23728.0,35.0,posNeg,25118.0,,,,,,,1340.0,D,11/6/2020 02:37,2020-11-06T02:37:00Z,11/05 21:37,23.0,,2020-11-06T02:37:00Z,25153.0,,,,23.0,,,,,,,,,,,,,,78,0,0,25153,0,25118,0,0,7cde83a83c46d45499ff3088bb9d603491474939,0,0,0,0,0,
20201107,VT,2347.0,,191176.0,,totalTestsViral,434341.0,4.0,,0.0,,,,1913.0,B,11/6/2020 23:59,2020-11-06T23:59:00Z,11/06 18:59,59.0,,2020-11-06T23:59:00Z,434341.0,,,2347.0,59.0,,,193523.0,,,,,,,,,,,50,21,774,193523,5490,193523,1,0,0c9891041f77589fd7105e403255d7baf4b541dd,0,0,0,0,0,
20201107,WA,114241.0,,2454016.0,,totalTestEncountersViral,2568257.0,398.0,8791.0,,,61.0,,,B,11/6/2020 02:59,2020-11-06T02:59:00Z,11/05 21:59,2439.0,8791.0,2020-11-06T02:59:00Z,,,,114241.0,2439.0,,2568257.0,,,,,,,,,,,,53,1691,25492,2568257,27183,2568257,8,7,00204191774bbd4849421c6873b52924bff313c3,0,0,0,0,0,
20201107,WI,277503.0,14373.0,1908320.0,260.0,totalTestEncountersViral,3540075.0,1806.0,12727.0,373.0,1570.0,,,202879.0,A+,11/7/2020 00:00,2020-11-07T24:00:00Z,11/06 19:00,2381.0,12727.0,2020-11-07T24:00:00Z,,,,263130.0,2301.0,80.0,3540075.0,2171450.0,,,,,,,,,,,55,7521,11863,2186083,43054,2185823,48,173,f7b2af2f339beb1e0b1afa0bd520ede20ec49af0,0,0,0,0,0,
20201107,WV,27742.0,2400.0,809962.0,,posNeg,837704.0,287.0,,89.0,,24.0,,20786.0,B,11/6/2020 23:59,2020-11-06T23:59:00Z,11/06 18:59,502.0,,2020-11-06T23:59:00Z,835140.0,,,25178.0,491.0,11.0,,,19455.0,,,,,,,,,,54,655,9990,837704,10645,837704,15,0,155d395652e895867decdce81cf75c3a8052a245,0,0,0,0,0,
20201107,WY,16597.0,2552.0,123769.0,,posNeg,140366.0,147.0,505.0,,,,,10142.0,B,11/7/2020 11:51,2020-11-07T11:51:00Z,11/07 06:51,105.0,505.0,2020-11-07T11:51:00Z,291186.0,14850.0,276335.0,14045.0,,,,137640.0,,,,,,,,,,,56,192,0,140366,192,140366,0,6,a63e32d459e233f1ada9bdc58da0be61c6841052,0,0,0,0,0,
20201106,AK,18699.0,,762602.0,,totalTestsViral,781301.0,106.0,,,,7.0,,7122.0,A,11/7/2020 03:59,2020-11-07T03:59:00Z,11/06 22:59,84.0,,2020-11-07T03:59:00Z,781301.0,19404.0,761522.0,18699.0,84.0,,,,,,,,,,,,,,02,525,-1050,781301,-525,781301,0,0,c5e7641b5775740f5912af833d4d6b5c452c3383,0,0,0,0,0,
